sampleId,fileName,captionReference,mainCategory,tags
1,3354474353_daf9e168cf.jpg,"Two dogs walk in the snow , the larger dog has a fish in his mouth .",ANIMALS,"dog, snow, fish, walk"
2,2071309418_1d7580b0f0.jpg,The white dog next to the brown dog is wearing a christmas headband .,ANIMALS,"dog, animal, white"
3,1247181182_35cabd76f3.jpg,a man sits on a rock .,OUTDOOR,"man, person"
4,3523920786_0eb63993fd.jpg,"A black dog running on a path , in the midst of a field",ANIMALS,"dog, field, run, animal"
5,2554531876_5d7f193992.jpg,A motorcycle races .,VEHICLES,motorcycle
6,2471974379_a4a4d2b389.jpg,"Bikers are seen riding during a parade , one has an American flag .",SPORTS,"biker, flag, ride, parade"
7,2419221084_01a14176b4.jpg,Two dogs are outside near patio furniture .,ANIMALS,"dog, animal"
8,2180480870_dcaf5ac0df.jpg,"The large , brownish dog is running through a grassy area .",ANIMALS,"dog, run, animal"
9,3516960094_87fb4889de.jpg,"Woman competing in the long jump , photographed in midair .",SPORTS,"woman, jump, person"
10,2029280005_a19609c81a.jpg,a man in a black shirt is rollerblading past a bench in the city .,PEOPLE,"man, person, black, shirt"
11,3421706363_a3e22a4908.jpg,A young man is performing a bicycle jump on a ramp .,SPORTS,"man, bicycle, ramp, jump"
12,3522989916_f20319cc59.jpg,A brown dog barks at a grey dog in the grass .,ANIMALS,"dog, grass, animal, outdoor"
13,444047125_66b249287c.jpg,Three people walk through a valley towards snowy mountains .,OUTDOOR,"person, mountain, walk, outdoor"
14,3202255152_08973fa3d7.jpg,A man wearing a helmet is doing a stunt with his BMX bike .,SPORTS,"man, bmx, helmet, stunt"
15,1797507760_384744fb34.jpg,Four shirtless men hike up a canyon .,PEOPLE,"man, person"
